Year,FVS for Non-Immigration Documents,FVS for Immigration Documents,FVS Disparity,Proportion of Documents Covering Immigration,Unemployment Rate,GDP Per Capita,Average Household Disposable Income,Disparity in Youth NEET Rate,Disparity in Rate of People Leaving Education early,Disparity in Poverty & Exclusion Risk Rate,Disparity in Avgerage Disposable Income vs African-born,Disparity in Avgerage Disposable Income vs Asian-born,Work Permits Granted,Student Residence Permits Granted,% Swedish Population with a Foreign Background,Immigration to Sweden,Swedish Population,Law & Order Importance Rank According to Voters,Immigration and Integration Importance Rank According to Voters,"Lethal Violence Deaths per 100,000","Reported Cases of Sexual Offenses per 100,000","People Prosecuted for Deadly Force per 100,000"
2010,1.282,6.998,5.716,49.2,8.6,,,,,23,,,,,,,,9,14,,,
2011,1.332,8.117,6.786,48.9,7.8,,416400,,,25.4,102400,83800,,,,,,6,12,,,
2012,1.432,8.302,6.87,53.5,8,387100,427300,4.8,6.1,24.3,106700,83300,16543,17397,20.08,103059,9560000,6,12,0.711297071,159.4142259,1.359832636
2013,1.314,7.282,5.968,50.8,8,392700,438900,3.4,5.9,23.9,107800,84000,15357,28949,20.75,115845,9640000,10,9,0.902489627,165.9232365,1.514522822
2014,1.032,8.037,7.005,53.3,7.9,406000,460000,3.2,6.9,26.8,117700,88200,12094,35571,21.44,126966,9750000,10,8,0.892307692,189.3333333,1.394871795
2015,1.26,7.771,6.511,58.7,7.4,426300,485300,3.6,8,27.8,125900,94400,13313,36630,22.23,134240,9850000,9,2,1.137055838,165.1979695,1.583756345
2016,1.085,7.363,6.279,62,6.9,441300,493700,3.6,9.3,26.9,128600,96500,12526,71562,23.22,163005,9990000,7,1,1.061061061,185.9259259,1.681681682
2017,1.177,6.841,5.664,60.1,6.7,455000,498000,4,9.3,29.6,133400,104400,15552,36607,24.04,144489,10110000,4,2,1.117705242,200.3165183,1.414441147
2018,1.288,7.354,6.066,58.3,6.3,474500,493100,3.1,10.5,28.2,129900,105500,20841,25377,24.83,132602,10230000,4,2,1.055718475,198.5630499,1.661779081
2019,1.093,7.309,6.216,54.8,6.8,488000,495600,2.5,9,30,134500,108500,21950,17502,25.48,115805,10320000,3,2,1.075581395,216.3372093,1.889534884
2020,1.191,6.205,5.014,50.5,8.3,478000,496200,4,10.3,27.7,134900,107600,15231,10471,25.77,82518,10360000,3,2,1.196911197,233.8513514,2.036679537
2021,0.978,7.292,6.314,48.4,8.8,517000,,2.6,9.4,,,,20753,14034,26.32,90631,10450000,2,3,1.081339713,255.3875598,2.392344498
2022,1.087,6.933,5.846,55.8,7.5,562000,,2.6,9,,,,24117,18413,26.9,102436,10520000,2,4,1.102661597,226.2642586,
2023,1.252,6.44,5.188,48.1,,,,,,,,,,,,,,2,4,,,
